timestep,wound_area_pct,margin_cells,wound_edges,cum_T1,cum_seals,cum_divisions
496,30.6876659791117,14,16,34,0,11
497,30.5443371849974,14,16,34,0,11
498,30.4012792656055,14,16,34,0,11
499,30.2585736243863,14,16,34,0,11
500,30.1161617882916,14,16,34,0,11
501,29.9740601061228,14,16,34,0,11
502,29.8322437922524,14,16,34,0,11
503,29.68982479108,14,16,34,0,11
504,29.559568065797,14,16,34,0,11
505,29.4157305825904,14,16,34,0,11
506,29.2733038501766,14,16,34,0,11
507,29.1311108324911,14,16,34,0,11
508,28.9892502590336,14,16,35,0,11
509,28.9461400327657,14,16,36,0,11
510,28.6503117538509,14,16,36,0,11
511,28.7368250602224,14,16,36,0,11
512,28.4935619991741,14,16,36,0,11
513,28.394264846419,14,16,36,0,11
514,28.2540209115799,14,16,36,0,11
515,28.1276613247926,14,16,36,0,11
516,27.9971140611702,14,16,36,0,11
517,27.8674283413592,14,16,36,0,11
518,27.7371102712593,14,16,36,0,11
519,27.6048898183061,14,16,36,0,11
520,27.4790799556348,14,16,36,0,11
521,27.3458951264232,14,16,36,0,11
522,27.2140321348714,14,16,36,0,11
523,27.0819171922145,14,16,36,0,11
524,26.9496737058845,14,16,36,0,11
525,26.8172508885068,14,16,36,0,11
526,26.6846312957822,14,16,36,0,11
527,26.5518278172772,14,16,36,0,11
528,26.4188555303177,14,16,37,0,11
529,26.2864848762612,14,16,37,0,11
530,24.0530259112197,14,19,38,0,11
531,28.1287081565554,14,19,38,0,11
532,25.9536052372822,14,19,38,0,11
533,24.5804771223728,14,18,38,0,11
534,23.8563619164515,14,18,38,0,11
535,23.0339457205645,14,18,38,0,11
536,22.3098737865363,14,18,38,0,11
537,21.8238211394311,14,18,38,0,11
538,21.4450672883156,14,18,38,0,11
539,20.9854941294116,14,18,38,0,11
540,20.6774824959279,14,18,39,0,11
541,21.1638408946765,14,18,39,0,11
542,21.2428860741445,14,18,40,0,11
543,21.522375894394,14,18,40,0,11
